id_car,categorie,sous_categorie,nom_francais,description_darija,description_arabe,mots_cles_fr,codes_obd,niveau_gravite,action_recommandee,source,repair_cost_dzd,urgency
94,moteur,engine,Air Filter Clogged,el moteur ma ykhdemch mlih|dkhane khal|lessance ykhlas|el filtre wasikh,قدرة منخفضة ، دخان أسود ، استهلاك سيء ، فلتر هواء وسخ. الأسباب المحتملة: air filter not replaced + dusty driving conditions + incorrect filter + air box seal missing.,puissance réduite|fumée noire|mauvaise conso|filtre à air sale|Air Filter Clogged,P0171,منخفض,تغيير فلتر الهواء,diagcar_2026_complete,500-3000,low
95,moteur,engine,Spark Plug Worn,el wakfa meshi mlih|ma tebdach mlih|lessance ykhlas|el moteur meshi mlih,خمول خشن ، صعوبة الاشتغال ، استهلاك سيء ، فشل الاشتعال. الأسباب المحتملة: spark plug gap too wide + spark plug fouled + spark plug electrode worn + wrong heat range.,ralenti rugueux|démarrage difficile|mauvaise conso|ratés allumage|Spark Plug Worn,P0300,متوسط,تغيير شمعات الإشعال كاملة,diagcar_2026_complete,2000-12000,moderate
96,refroidissement,cooling,Heater Core Blocked,ma fi dfa f tomobile|riha 7elwa goudda|el moquette mablla|el vitres mda33min,لا تدفئة داخل السيارة ، رائحة حلوة ، سجادة مبللة ، ضباب داخلي على الزجاج. الأسباب المحتملة: heater core blocked with scale + heater core leaking + control valve failed + air lock in system.,pas de chaleur habitacle|odeur sucrée|tapis mouillé|buée intérieure|Heater Core Blocked,B1250,متوسط,تنظيف أو تغيير المشع الحراري الداخلي,diagcar_2026_complete,12000-45000,moderate
97,électricité,electrical,Glow Plug Relay Failure (Diesel),ma tebdach b gasoil|le voyant réchauffage yerqas|dkhane abyad ki tebda|daw el moteur,صعوبة تشغيل الديزل ، وميض ضوء التسخين ، دخان أبيض عند البدء ، ضوء المحرك. الأسباب المحتملة: glow plug relay failed + glow plug module failed + timer circuit failed + wiring issue.,démarrage diesel difficile|voyant préchauffage clignote|fumée blanche démarrage|voyant moteur|Glow Plug Relay Failure (Diesel),P0380,متوسط,تغيير مرحل الشمعات التسخينية,diagcar_2026_complete,3000-12000,moderate
98,suspension,suspension,Strut Mount Failure,sout men el amortisseur|rdua f el volant|el kawetch ma ytahalouch|sout ki tdur,طرق من التعليق ، اهتزاز في التوجيه ، محاذاة سيئة ، صوت طقطقة عند الدوران. الأسباب المحتملة: strut mount bearing worn + mount rubber cracked + mount bolt loose + strut top nut loose.,cognement suspension|vibration direction|mauvais alignement|craquement en tournant|Strut Mount Failure,C0196,متوسط,تغيير ساند الأمورتيزور العلوي,diagcar_2026_complete,5000-20000,moderate
99,carburant,fuel,Fuel Tank Contamination,el moteur ma ykhdemch b3ad ma t3abat|el filtre yensadd merra merra|les injecteurs yekhlu|la pompe tatkhsar,فشل اشتعال بعد التعبئة ، انسداد متكرر للفلتر ، فشل الحاقنات ، تلف مضخة الوقود. الأسباب المحتملة: water in fuel + wrong fuel added + diesel in petrol or vice versa + algae growth in tank + rust in tank.,ratés après plein|filtre bouchage répété|injecteurs défaillants|pompe abîmée|Fuel Tank Contamination,P0087,عالي,تنظيف خزان الوقود وتغيير الفلتر والمضخة,diagcar_2026_complete,10000-40000,urgent
100,moteur,engine,Serpentine Belt Failure,sout soufla|daw la batterie|el volant twaqef|la clim twaqfet|el ma7raka 7anna,صفير ، ضوء البطارية ، فقدان التوجيه ، توقف التكييف ، ارتفاع الحرارة. الأسباب المحتملة: belt worn and cracked + belt tensioner failed + idler pulley seized + belt contaminated with oil + belt too long/short.,sifflement|voyant batterie|direction perdue|AC arrêté|surchauffe|Serpentine Belt Failure,P0620,حرج,تغيير الحزام الرئيسي مع الشداد والبكرة,diagcar_2026_complete,4000-18000,immediate
101,moteur,engine,Oil Sump Leak,zit ta7at tomobile|daw el zit|rihet zit 7areq|zit 3al echappement,بركة زيت تحت السيارة ، تحذير ضغط الزيت ، رائحة حرق زيت ، زيت على العادم. الأسباب المحتملة: sump gasket failed + drain plug loose or cross-threaded + sump cracked from impact + oil return line blocked.,flaque huile sous voiture|voyant pression huile|odeur huile brûlée|huile sur échappement|Oil Sump Leak,P0523,عالي,إصلاح تسرب كارتر الزيت,diagcar_2026_complete,4000-16000,urgent
102,électricité,electrical,ABS Pump Motor Failure,daw ABS|ABS ma ykhdemch|el frana yNBuD ghlat|traction control waqef,ضوء ABS ، ABS لا يعمل ، نبض غير طبيعي للدواسة ، إيقاف التحكم بالجر. الأسباب المحتملة: ABS pump motor burned + ABS module failed + hydraulic unit blocked + motor brushes worn.,voyant ABS|ABS inopérant|pédale anormale|antipatinage désactivé|ABS Pump Motor Failure,C0051,عالي,تغيير مضخة ABS أو وحدة التحكم,diagcar_2026_complete,15000-60000,urgent
103,échappement,exhaust,Flex Pipe Crack,l'echappement ye3yat|dkhane f tomobile|sout ta7at tomobile|control ma yn7ch,صوت عادم عالٍ ، أدخنة العادم داخل السيارة ، طرقعة تحت السيارة ، فشل اختبار الانبعاثات. الأسباب المحتملة: flex pipe cracked from vibration + gasket failed at flex pipe + flex pipe corroded + excessive engine movement.,bruit fort échappement|fumées dans habitacle|cliquetis sous voiture|contrôle technique raté|Flex Pipe Crack,P0420,متوسط,تغيير الأنبوب المرن للعادم,diagcar_2026_complete,3000-12000,moderate
104,carburant,fuel,Charcoal Canister Failure,daw el moteur|rihet lessance|ma ttnaja3ch tchargi|code EVAP,ضوء المحرك ، رائحة وقود ، صعوبة ملء الخزان ، كود EVAP. الأسباب المحتملة: canister cracked + purge valve stuck + canister saturated + vent valve blocked.,voyant moteur|odeur essence|remplissage difficile|code EVAP|Charcoal Canister Failure,P0443,منخفض,تغيير وعاء الفحم وفحص الصمامات,diagcar_2026_complete,5000-18000,low
105,transmission,transmission,Drive Shaft Vibration,rdua f la grande vitesse|rdua ki tet7arrak|rdua f el tros|rdua men ta7t,اهتزاز بالسرعة العالية ، اهتزاز عند التسارع ، اهتزاز أشد عند التعشيق ، ارتجاف من الأسفل. الأسباب المحتملة: drive shaft balance lost + universal joint worn + centre bearing worn + CV joint worn + shaft bent.,vibration grande vitesse|vibration à l'accélération|vibration pire en prise|frémissement dessous|Drive Shaft Vibration,C0300,عالي,إعادة موازنة أو تغيير عمود الإدارة,diagcar_2026_complete,8000-40000,urgent
106,moteur,engine,Fuel System Vapor Lock,tomobile twaqef f el 7ar|ma tebdach ki 7anna|khsara f el qowa f jal|bouillons f el tuyau ta lessance,توقف في الطقس الحار ، صعوبة الاشتغال حين الحرارة ، فقدان مفاجئ للقدرة ، فقاعات في خط الوقود. الأسباب المحتملة: fuel line too close to exhaust + fuel pump failing + return line blocked + fuel boiling in line.,calage par temps chaud|redémarrage difficile chaud|perte puissance soudaine|bulles dans ligne carburant|Fuel System Vapor Lock,P0087,متوسط,إعادة توجيه خط الوقود وفحص المضخة,diagcar_2026_complete,5000-20000,moderate
107,suspension,suspension,Power Steering Rack End Failure,sout clic f el direction|el volant rayeg|el volant yrdua f la vitesse|el volant yel3ab,نقر من التوجيه ، إحساس بالخمول في التوجيه ، تذبذب بالسرعة ، لعب في المقود. الأسباب المحتملة: rack end worn + inner tie rod worn + rack mounting loose + steering column coupling worn.,clic de direction|direction vague|shimmy à vitesse|jeu dans le volant|Power Steering Rack End Failure,C0460,عالي,تغيير نهايات عمود التوجيه,diagcar_2026_complete,6000-25000,urgent
108,moteur,engine,Cracked Engine Block,el zit w el maya mkhaltatin|el ma7raka 7anna bezaf|bezaf dkhane abyad|maya tnzel f bara,خلط سائل التبريد بالزيت ، ارتفاع حاد للحرارة ، دخان أبيض ، تسرب خارجي للسائل. الأسباب المحتملة: severe overheating crack + freeze damage + manufacturing defect + impact damage + age and corrosion.,mélange liquide/huile|surchauffe sévère|fumée blanche|fuite externe liquide|Cracked Engine Block,P0217,حرج,تغيير كتلة المحرك — إصلاح بالغ التكلفة,diagcar_2026_complete,80000-300000,immediate
109,climatisation,ac,Evaporator Leak,la clim ma tbardach b3ad ma charginaha|el gaz ynzel|riha 7elwa men les bouches|la clim meshi barda meziane,التكييف دافئ بعد الشحن ، فقدان الغاز ، رائحة حلوة من فتحات الهواء ، التكييف غير بارد بما يكفي. الأسباب المحتملة: evaporator corroded + evaporator fin punctured + O-ring leak + drain tube causing corrosion.,AC chaud après recharge|perte réfrigérant|odeur sucrée des bouches|AC insuffisamment froid|Evaporator Leak,B1430,متوسط,تغيير المبخر — يتطلب تفكيك لوحة القيادة,diagcar_2026_complete,20000-70000,moderate
110,moteur,engine,Positive Crankcase Ventilation Blockage,el zit ynzel men les joints|el wakfa meshi mlih|dkhane men el bouchon ta zit|pressions el zit 3ali,تسرب زيت من الجوانات ، خمول خشن ، دخان من سدادة الزيت ، ارتفاع ضغط الزيت. الأسباب المحتملة: PCV hose blocked + PCV valve stuck + sludge buildup blocking passages + oil separator clogged.,fuites huile joints|ralenti rugueux|fumée bouchon huile|pression huile élevée|Positive Crankcase Ventilation Blockage,P0101,متوسط,تنظيف نظام التهوية وتغيير PCV,diagcar_2026_complete,2000-9000,moderate
111,freinage,brakes,Electronic Brake Force Distribution Failure,daw EBD|les roues derriere yetqafo|el frana meshi drusta|ABS ykhdem bla lazem,ضوء EBD ، قفل العجلات الخلفية ، عدم استقرار الفرملة ، تفعيل ABS بدون سبب. الأسباب المحتملة: wheel speed sensor failed + EBD module failed + brake fluid low + hydraulic unit fault.,voyant EBD|roues arrière qui bloquent|instabilité freinage|ABS s'active inutilement|Electronic Brake Force Distribution Failure,C0040,عالي,فحص مستشعرات السرعة ووحدة EBD,diagcar_2026_complete,8000-40000,urgent
112,transmission,transmission,4WD/AWD System Failure,4x4 ma ykhdemch|daw AWD|sout f la boite de transfert|tomobile tetqayad ki tdur,الدفع الرباعي لا يشتغل ، ضوء تحذير AWD ، صوت علبة النقل ، تقييد في الدوران. الأسباب المحتملة: transfer case motor failed + 4WD module failed + front differential failed + actuator failed + viscous coupling failed.,4x4 ne s'enclenche pas|voyant AWD|bruit boîte de transfert|grippage en virage AWD|4WD/AWD System Failure,C0387,عالي,فحص وإصلاح نظام الدفع الرباعي,diagcar_2026_complete,15000-80000,urgent
113,moteur,engine,Diesel Particulate Filter (DPF) Regeneration Failure,daw DPF dwem|tomobile ma tkhdemch mlih|bezaf gasoil|dejma fel trajets cousins,ضوء DPF مستمر ، وضع الطوارئ ، استهلاك وقود مفرط ، رحلات قصيرة فقط. الأسباب المحتملة: too many short journeys + faulty exhaust temperature sensor + EGR stuck open + fuel additive absent.,voyant FAP constant|mode dégradé|surconsommation|trajets courts uniquement|Diesel Particulate Filter (DPF) Regeneration Failure,P2002,عالي,رحلة طويلة لإعادة التجديد أو تنظيف قسري,diagcar_2026_complete,5000-60000,urgent
114,moteur,engine,Cold Start Enrichment Failure,ma tebdach mlih ki barda|twaqef ki barda|el moteur ma ykhdemch ki barda|yakhud waqt yedfa,بدء بارد خشن ، توقف عند البرودة ، فشل اشتعال عند البرودة ، بطء الاحترار. الأسباب المحتملة: coolant temperature sensor failed + injector cold start failed + ECU calibration issue + fuel pressure low when cold.,démarrage froid rugueux|calage au froid|ratés au froid|long à chauffer|Cold Start Enrichment Failure,P0170,متوسط,فحص مستشعر الحرارة وضغط الوقود عند البرودة,diagcar_2026_complete,3000-14000,moderate
115,suspension,suspension,Rear Axle Bearing Failure,sout men derriere|el sout yetbadal m3a la vitesse|rdua f el arriere|sout el belyye,طنين من الخلف ، الصوت يتغير مع السرعة ، اهتزاز خلفي ، عواء المحمل. الأسباب المحتملة: bearing worn from high mileage + bearing seal failed + impact damage + insufficient lubrication + axle overloaded.,bourdonnement arrière|bruit change avec vitesse|vibration arrière|hurlement roulement|Rear Axle Bearing Failure,C0045,عالي,تغيير محمل المحور الخلفي,diagcar_2026_complete,6000-22000,urgent
116,moteur,engine,Exhaust Gas Recirculation Cooler Failure,dkhane abyad men l'echappement|el maya tnqas bla ma nrofou fuite|el ma7raka 7anna|code EGR,دخان أبيض من العادم ، فقدان سائل دون تسرب مرئي ، ارتفاع الحرارة ، كود EGR. الأسباب المحتملة: EGR cooler cracked internally + coolant leaking into exhaust + cooler blockage + gasket failed.,fumée blanche échappement|perte liquide sans fuite visible|surchauffe|code EGR|Exhaust Gas Recirculation Cooler Failure,P0401,عالي,تغيير مبرد EGR,diagcar_2026_complete,8000-35000,urgent
117,électricité,electrical,Throttle Position Sensor Failure,el moteur yet3ater ki tet7arrak|el wakfa ma testa9arsh|tomobile ma tkhdemch mlih|el gaz ma ykhdemch mlih,تردد عند التسارع ، تصيد عند الخمول ، وضع الطوارئ ، استجابة ضعيفة لدواسة الوقود. الأسباب المحتملة: TPS sensor worn + sensor wiring damaged + throttle body dirty + connector corrosion.,hésitation à l'accélération|ralenti qui chasse|mode dégradé|mauvaise réponse accélérateur|Throttle Position Sensor Failure,P0120,عالي,تغيير مستشعر وضعية دواسة الوقود,diagcar_2026_complete,3500-14000,urgent
118,moteur,engine,Camshaft Oil Seal Leak,zit 3al ceinture ta l'allumage|rihet zit 7areq f el qdam|zit ynzel f el qdam|el ceinture mewassekha,زيت على حزام التوقيت ، رائحة حرق من الأمام ، تسرب زيت أمام المحرك ، تلوث حزام التوقيت. الأسباب المحتملة: camshaft seal worn + seal hardened from age + seal pushed out by pressure.,huile sur courroie|odeur huile brûlée avant|fuite huile avant moteur|courroie de distribution contaminée|Camshaft Oil Seal Leak,P0010,متوسط,تغيير ختم عمود الكامة (يستلزم تغيير حزام التوقيت),diagcar_2026_complete,8000-30000,urgent
119,freinage,brakes,Anti-Lock Brake Wheel Speed Sensor Contamination,ABS ykhdem bla lazem|daw ABS|traction control ma ykhdemch|ESP ma ykhdemch,تفعيل ABS دون حاجة ، ضوء ABS ، مشاكل التحكم بالجر ، عطل ESP. الأسباب المحتملة: sensor contaminated with metallic debris + tone ring damaged + sensor gap incorrect + sensor wiring rubbing.,ABS s'active inutilement|voyant ABS|problèmes antipatinage|défaut ESP|Anti-Lock Brake Wheel Speed Sensor Contamination,C0035,متوسط,تنظيف أو تغيير مستشعر سرعة ABS,diagcar_2026_complete,3000-14000,moderate
120,moteur,engine,Fuel Return Line Blockage,ma tebdach ki 7anna|les injecteurs yetqaw|bezaf lessance|dkhane khal,صعوبة الاشتغال حين الحرارة ، فيضان الحاقنات ، استهلاك وقود مرتفع جداً ، دخان أسود. الأسباب المحتملة: return line kinked + return line blocked with debris + check valve in tank failed + tank vent blocked.,démarrage difficile chaud|noyage injecteurs|surconsommation|fumée noire|Fuel Return Line Blockage,P0087,عالي,فحص وإصلاح خط الوقود الراجع,diagcar_2026_complete,4000-15000,urgent
121,électricité,electrical,Mass Air Flow Sensor Dirty,el wakfa meshi mlih|lessance ykhlas bezaf|el moteur yet3ater|tomobile twaqef,خمول خشن ، استهلاك سيء ، تردد ، توقف المحرك. الأسباب المحتملة: MAF sensor contaminated with oil + dirty air filter allowing dirt through + sensor element damaged + wiring issue.,ralenti rugueux|mauvaise conso|hésitation|calage|Mass Air Flow Sensor Dirty,P0102,متوسط,تنظيف مستشعر تدفق الهواء بمنظف خاص,diagcar_2026_complete,1500-8000,moderate
122,refroidissement,cooling,Expansion Tank Failure,el maya tnqas|bouchon ma yehbsach|el maya tfermes|el soupape ma tkhdemch,انخفاض مستوى السائل ، فقدان ضغط الغطاء ، تسرب سائل التبريد ، تعطل صمام الأمان. الأسباب المحتملة: expansion tank cracked + cap pressure rating wrong + tank nipple cracked + coolant boiling over.,niveau liquide baisse|perte pression bouchon|débordement liquide|soupape bloquée|Expansion Tank Failure,P0217,متوسط,تغيير خزان التمدد وغطاؤه,diagcar_2026_complete,2000-8000,moderate
123,moteur,engine,Variable Displacement Oil Pump Failure,daw el zit|khatar el moteur ytkhasar|sout f el moteur|pressions el zit wahda,تحذير انخفاض ضغط الزيت ، خطر تلف المحرك ، صوت طق ، ضغط زيت منخفض. الأسباب المحتملة: oil pump vane worn + pressure relief valve stuck open + pump inlet screen blocked + oil viscosity wrong.,alerte basse pression huile|risque casse moteur|claquement|manomètre huile bas|Variable Displacement Oil Pump Failure,P0521,حرج,تغيير مضخة الزيت — إصلاح عاجل,diagcar_2026_complete,20000-70000,immediate
124,transmission,transmission,Gear Selector Failure,ma yetqdarsh ytkhtar el tros|el indicateur ghlat|tomobile qei3a f tros wa7ed|el tros ma ydkhlouch,عدم القدرة على اختيار التروس ، مؤشر التروس خاطئ ، السيارة عالقة في ترس ، صعوبة الاختيار. الأسباب المحتملة: gear selector cable broken + selector linkage worn + park/neutral switch failed + gear shift module failed.,impossible sélectionner vitesse|indicateur incorrect|voiture bloquée en vitesse|sélection difficile|Gear Selector Failure,P0706,متوسط,فحص وإصلاح ذراع ناقل الحركة,diagcar_2026_complete,4000-22000,moderate
125,moteur,engine,Piston Ring Failure,dkhane azraq men l'echappement|el zit ykhlas bezaf|compression wahda|el moteur dwa3if,دخان أزرق من العادم ، استهلاك زيت عالٍ ، ضغط منخفض ، فقدان قدرة المحرك. الأسباب المحتملة: rings worn from high mileage + rings seized from poor oil changes + carbon buildup on rings + engine overheating damage.,fumée bleue échappement|haute conso huile|compression faible|perte puissance moteur|Piston Ring Failure,P0300,حرج,إصلاح كامل للمحرك — عملية مكلفة,diagcar_2026_complete,60000-200000,urgent
126,moteur,engine,Timing Chain Rattle,sout f el moteur ki tebda|clic ki tebda|sout el jnezir,صوت طقطقة عند التشغيل|طرقعة في المحرك|صوت سلسلة التوقيت,cliquetis au démarrage|bruit chaîne distribution|claquement moteur froid|Timing Chain Rattle,P0016,عالي,تغيير سلسلة التوقيت والشداد وإصلاح مستوى الزيت,diagcar_2026_expanded,20000-70000,urgent
127,moteur,engine,Engine Oil Sludge,el moteur ydoq|el zit noire bezaf|tokhir f changement zit,دق في المحرك|الزيت أسود جداً|تأخر تغيير الزيت,moteur qui claque|huile très noire|entretien négligé|Engine Oil Sludge,P0520,عالي,تغيير الزيت والفلتر وتنظيف المحرك من الرواسب,diagcar_2026_expanded,5000-25000,urgent
128,moteur,engine,Cylinder Head Crack,dkhane abyad+maya f zit|el moteur ma ykhdemch mlih,دخان أبيض مع ماء في الزيت|المحرك لا يعمل بشكل صحيح,fumée blanche + eau dans huile|moteur irrégulier|Cylinder Head Crack,P0300,حرج,إصلاح أو تغيير رأس المحرك المتشقق,diagcar_2026_expanded,40000-120000,immediate
129,moteur,engine,Piston Slap Noise,sout f el moteur ki barda|yetla3 ba3d ki iskhane,صوت في المحرك عند البرودة يختفي بعد الإحماء,bruit piston froid qui disparaît chaud|Piston Slap Noise,P0300,عالي,فحص الضغط وإصلاح المحرك,diagcar_2026_expanded,30000-100000,moderate
130,moteur,engine,Blown Intake Manifold Gasket,el moteur yakhud l'air men barra|el wakfa meshi mlih,المحرك يسحب هواء من الخارج|خمول غير منتظم,fuite d'air admission|ralenti instable|consommation élevée|Blown Intake Manifold Gasket,P0171,متوسط,تغيير جوانة مانيفولد الشفط,diagcar_2026_expanded,5000-18000,moderate
131,carburant,fuel,Fuel Injector Clogged,el moteur yqsef|rdua f el moteur|ma ykhdemch mlih,المحرك يتعثر|اهتزاز في المحرك|لا يعمل بشكل صحيح,ratés allumage|vibration moteur|marche irrégulière|Fuel Injector Clogged,P0204,عالي,تنظيف الحاقنات بالموجات فوق الصوتية,diagcar_2026_expanded,4000-15000,urgent
132,carburant,fuel,Fuel Filler Neck Rust,rihet lessance ki techargi|daw el moteur ba3d tanwi,رائحة وقود عند التعبئة|ضوء المحرك بعد التعبئة,odeur essence lors du plein|voyant moteur post remplissage|Fuel Filler Neck Rust,P0457,متوسط,تغيير عنق خزان الوقود والغطاء,diagcar_2026_expanded,3000-12000,low
133,carburant,fuel,Weak Fuel Pump Pressure,el moteur ykhnek f les montées|ma ykhdemch ki shun,المحرك يخنق في المنحدرات|لا يعمل جيداً في الشمس,moteur en difficulté en côte|problème chaleur|Weak Fuel Pump Pressure,P0087,عالي,تغيير مضخة الوقود وفلتر الوقود,diagcar_2026_expanded,10000-28000,urgent
134,électricité,electrical,Faulty Ground Connection,mushkilat kahrabiya mkhtalfa|el scanner ma ykhdemch,مشاكل كهربائية متعددة|الماسح لا يتواصل,problèmes électriques multiples|scanner sans communication|Faulty Ground Connection,U0100,عالي,تنظيف وإحكام نقاط التأريض الكهربائي,diagcar_2026_expanded,2000-8000,urgent
135,électricité,electrical,CAN Bus Communication Error,bezaf voyants|el scanner ma yaqrach|kol 7aja waqfet,أضواء تحذير متعددة|الماسح لا يقرأ|توقف كل الأنظمة,multiples voyants|pas de communication OBD|défaillance multiple|CAN Bus Communication Error,U0001,عالي,فحص شبكة CAN Bus واستبدال الوحدة المعطلة,diagcar_2026_expanded,10000-50000,urgent
136,électricité,electrical,Damaged Crankshaft Reluctor Ring,el moteur ma yebdach|yebda w twaqef,المحرك لا يشتغل|يبدأ ثم يتوقف,moteur ne démarre pas|démarre et cale|Damaged Crankshaft Reluctor Ring,P0335,حرج,تغيير حلقة العجلة المغناطيسية لعمود الكرنك,diagcar_2026_expanded,5000-20000,immediate
137,refroidissement,cooling,Leaking Coolant Reservoir Cap,maya tnzel men el bouchon|el ma7raka 7anna ahwayya,تسرب الماء من الغطاء|حرارة خفيفة,fuite vase expansion|légère surchauffe|Leaking Coolant Reservoir Cap,P0217,متوسط,تغيير غطاء خزان التمدد,diagcar_2026_expanded,800-3000,moderate
138,refroidissement,cooling,Air Lock in Cooling System,el ma7raka 7anna w barda|le chauffage mashi mlih,حرارة متقلبة|التدفئة لا تعمل بشكل منتظم,température irrégulière|chauffage intermittent|Air Lock in Cooling System,P0128,متوسط,تهوية دائرة التبريد وإزالة الهواء المحبوس,diagcar_2026_expanded,2000-8000,moderate
139,freinage,brakes,Brake Fluid Contaminated,el frana meshi mlih|el frana tella3 f el bas,الفرامل لا تعمل بشكل صحيح|الدواسة ترتفع مع التوقف,freinage insuffisant|pédale qui remonte|Brake Fluid Contaminated,C0241,عالي,تغيير سائل الفرامل بالكامل,diagcar_2026_expanded,2000-6000,urgent
140,freinage,brakes,Rear Drum Brake Adjustment,el frana derriere mashi mlih|toul el freinaj,الفرامل الخلفية لا تعمل بشكل صحيح|مسافة التوقف طويلة,frein arrière insuffisant|distance freinage longue|Rear Drum Brake Adjustment,C0110,متوسط,ضبط وتعديل فرامل الطبل الخلفية,diagcar_2026_expanded,3000-10000,moderate
141,suspension,suspension,Worn Sway Bar Bushings,sout f el trous|tomobile ma drusta,صوت في المطبات|عدم استقرار السيارة,bruit sur bosses|instabilité véhicule|Worn Sway Bar Bushings,C0250,متوسط,تغيير مخامد شريط التثبيت,diagcar_2026_expanded,2000-8000,moderate
142,suspension,suspension,Broken Rear Spring,derriere tomobile 7ane|sout ki twaqef 3al trous,خلفية السيارة منخفضة|صوت عند الوقوف على المطبات,arrière voiture abaissé|bruit à l'arrêt|Broken Rear Spring,C0196,عالي,تغيير زنبرك الخلفي,diagcar_2026_expanded,6000-20000,urgent
143,transmission,transmission,Clutch Release Bearing Noise,sout ki toghat el debrayage|clic f la pedale,صوت عند الضغط على الكلاتش|نقر في الدواسة,bruit à l'appui pédale embrayage|clic pédale|Clutch Release Bearing Noise,P0810,متوسط,تغيير محمل فك الكلاتش,diagcar_2026_expanded,5000-18000,moderate
144,transmission,transmission,Gearbox Synchromesh Failure,tros ma ydkhlouch mlih|sout ki tbeddel tros,صعوبة إدخال التروس|صوت عند تغيير السرعة,difficulté passage vitesse|bruit en changeant|Gearbox Synchromesh Failure,P0730,عالي,إصلاح أو تغيير الصندوق,diagcar_2026_expanded,20000-80000,urgent
145,échappement,exhaust,EGR Cooler Cracked,dkhane abyad men l'echappement|maya f zit,دخان أبيض من العادم|ماء في الزيت,fumée blanche échappement|eau dans huile|EGR Cooler Cracked,P0401,عالي,تغيير مبرد EGR,diagcar_2026_expanded,8000-35000,urgent
146,échappement,exhaust,Oxygen Sensor Downstream Failure,daw el moteur|control ma yn7ch,ضوء المحرك|رسوب في اختبار الانبعاثات,voyant moteur|contrôle technique raté|Oxygen Sensor Downstream Failure,P0141,متوسط,تغيير حساس الأكسجين الخلفي,diagcar_2026_expanded,4000-15000,moderate
147,direction,steering,Loose Steering Wheel,el volant yel3ab|el tomobile ma tkhdemch mlih f tariq,المقود رخو|السيارة لا تسلك بشكل صحيح,volant avec du jeu|mauvaise tenue de route|Loose Steering Wheel,C0750,عالي,إحكام أو تغيير عمود المقود,diagcar_2026_expanded,5000-22000,urgent
148,direction,steering,Power Steering Fluid Leak from Hose,zit el direction ynzel|el volant thqil ahwayya,تسرب زيت التوجيه|ثقل خفيف في المقود,fuite huile direction|direction légèrement lourde|Power Steering Fluid Leak from Hose,C0040,متوسط,تغيير خرطوم زيت التوجيه,diagcar_2026_expanded,3000-12000,moderate
149,climatisation,ac,AC Blower Motor Failure,el hawiya ma tkhrojch|la clim ma tbardach rajel,لا هواء يخرج|التكييف لا يبرد بشكل كافٍ,pas de débit air|clim insuffisante|AC Blower Motor Failure,B1450,منخفض,تغيير موتور الهواء الداخلي,diagcar_2026_expanded,5000-18000,low
150,climatisation,ac,AC Pressure Switch Failure,la clim tweqef w tebda|el compresseur ma ydurach dwem,التكييف يقطع ويوصل|الضاغط لا يدور باستمرار,clim intermittente|compresseur cycling|AC Pressure Switch Failure,B1420,متوسط,فحص الضغط وتغيير مانو كونتاكت,diagcar_2026_expanded,3000-14000,low
151,moteur,engine,Abnormal Engine Noise at High RPM,sout f el moteur f la grande vitesse|el moteur ydoq ki tet7arrak,صوت في المحرك بالسرعة العالية|دق عند التحريك,bruit moteur à régime élevé|claquement accélération|Abnormal Engine Noise at High RPM,P0300,عالي,فحص وإصلاح Abnormal Engine Noise at High RPM — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
152,moteur,engine,Abnormal Engine Noise at High RPM,sout f el moteur f la grande vitesse|el moteur ydoq ki tet7arrak,صوت في المحرك بالسرعة العالية|دق عند التحريك,bruit moteur à régime élevé|claquement accélération|Abnormal Engine Noise at High RPM,P0300,عالي,فحص وإصلاح Abnormal Engine Noise at High RPM — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
153,moteur,engine,Abnormal Engine Noise at High RPM,sout f el moteur f la grande vitesse|el moteur ydoq ki tet7arrak,صوت في المحرك بالسرعة العالية|دق عند التحريك,bruit moteur à régime élevé|claquement accélération|Abnormal Engine Noise at High RPM,P0300,عالي,فحص وإصلاح Abnormal Engine Noise at High RPM — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
154,moteur,engine,Abnormal Engine Noise at High RPM,sout f el moteur f la grande vitesse|el moteur ydoq ki tet7arrak,صوت في المحرك بالسرعة العالية|دق عند التحريك,bruit moteur à régime élevé|claquement accélération|Abnormal Engine Noise at High RPM,P0300,عالي,فحص وإصلاح Abnormal Engine Noise at High RPM — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
155,moteur,engine,Abnormal Engine Noise at High RPM,sout f el moteur f la grande vitesse|el moteur ydoq ki tet7arrak,صوت في المحرك بالسرعة العالية|دق عند التحريك,bruit moteur à régime élevé|claquement accélération|Abnormal Engine Noise at High RPM,P0300,عالي,فحص وإصلاح Abnormal Engine Noise at High RPM — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
156,moteur,engine,Abnormal Engine Noise at High RPM,sout f el moteur f la grande vitesse|el moteur ydoq ki tet7arrak,صوت في المحرك بالسرعة العالية|دق عند التحريك,bruit moteur à régime élevé|claquement accélération|Abnormal Engine Noise at High RPM,P0300,عالي,فحص وإصلاح Abnormal Engine Noise at High RPM — مراجعة ميكانيكي مختص,diagcar_2026_expanded,3000-50000,moderate
